epi_week,date,state,newCases
14,2020-03-31,PR,25
14,2020-03-31,RJ,51
14,2020-03-31,RN,5
14,2020-03-31,RO,1
14,2020-03-31,RR,0
14,2020-03-31,RS,51
14,2020-03-31,SC,16
14,2020-03-31,SE,1
14,2020-03-31,SP,822
14,2020-03-31,TO,1
14,2020-04-01,AC,1
14,2020-04-01,AL,0
14,2020-04-01,AM,25
14,2020-04-01,AP,1
14,2020-04-01,BA,29
14,2020-04-01,CE,44
14,2020-04-01,DF,37
14,2020-04-01,ES,23
14,2020-04-01,GO,8
14,2020-04-01,MA,19
14,2020-04-01,MG,39
14,2020-04-01,MS,3
14,2020-04-01,MT,3
14,2020-04-01,PA,7
14,2020-04-01,PB,3
14,2020-04-01,PE,8
14,2020-04-01,PI,1
14,2020-04-01,PR,44
14,2020-04-01,RJ,124
14,2020-04-01,RN,10
14,2020-04-01,RO,0
14,2020-04-01,RR,10
14,2020-04-01,RS,11
14,2020-04-01,SC,12
14,2020-04-01,SE,3
14,2020-04-01,SP,642
14,2020-04-01,TO,0
14,2020-04-02,AC,2
14,2020-04-02,AL,0
14,2020-04-02,AM,29
14,2020-04-02,AP,1
14,2020-04-02,BA,21
14,2020-04-02,CE,120
14,2020-04-02,DF,30
14,2020-04-02,ES,19
14,2020-04-02,GO,0
14,2020-04-02,MA,10
14,2020-04-02,MG,56
14,2020-04-02,MS,2
14,2020-04-02,MT,13
14,2020-04-02,PA,8
14,2020-04-02,PB,8
14,2020-04-02,PE,11
14,2020-04-02,PI,0
14,2020-04-02,PR,29
14,2020-04-02,RJ,160
14,2020-04-02,RN,14
14,2020-04-02,RO,1
14,2020-04-02,RR,4
14,2020-04-02,RS,70
14,2020-04-02,SC,34
14,2020-04-02,SE,2
14,2020-04-02,SP,525
14,2020-04-02,TO,0
14,2020-04-03,AC,1
14,2020-04-03,AL,5
14,2020-04-03,AM,31
14,2020-04-03,AP,7
14,2020-04-03,BA,23
14,2020-04-03,CE,93
14,2020-04-03,DF,19
14,2020-04-03,ES,14
14,2020-04-03,GO,15
14,2020-04-03,MA,7
14,2020-04-03,MG,27
14,2020-04-03,MS,7
14,2020-04-03,MT,3
14,2020-04-03,PA,26
14,2020-04-03,PB,3
14,2020-04-03,PE,30
14,2020-04-03,PI,3
14,2020-04-03,PR,49
14,2020-04-03,RJ,82
14,2020-04-03,RN,70
14,2020-04-03,RO,0
14,2020-04-03,RR,7
14,2020-04-03,RS,24
14,2020-04-03,SC,20
14,2020-04-03,SE,3
14,2020-04-03,SP,542
14,2020-04-03,TO,1
14,2020-04-04,AC,0
14,2020-04-04,AL,0
14,2020-04-04,AM,51
14,2020-04-04,AP,10
14,2020-04-04,BA,46
14,2020-04-04,CE,87
14,2020-04-04,DF,37
14,2020-04-04,ES,13
14,2020-04-04,GO,15
14,2020-04-04,MA,8
14,2020-04-04,MG,33
14,2020-04-04,MS,2
14,2020-04-04,MT,16
14,2020-04-04,PA,7
14,2020-04-04,PB,2
14,2020-04-04,PE,40
14,2020-04-04,PI,2
14,2020-04-04,PR,94
14,2020-04-04,RJ,172
14,2020-04-04,RN,39
14,2020-04-04,RO,1
14,2020-04-04,RR,5
14,2020-04-04,RS,8
14,2020-04-04,SC,55
14,2020-04-04,SE,5
14,2020-04-04,SP,418
14,2020-04-04,TO,3
15,2020-04-05,AC,2
15,2020-04-05,AL,5
15,2020-04-05,AM,106
15,2020-04-05,AP,3
15,2020-04-05,BA,65
15,2020-04-05,CE,218
15,2020-04-05,DF,12
15,2020-04-05,ES,28
15,2020-04-05,GO,12
15,2020-04-05,MA,37
15,2020-04-05,MG,68
15,2020-04-05,MS,3
15,2020-04-05,MT,0
15,2020-04-05,PA,4
15,2020-04-05,PB,1
15,2020-04-05,PE,25
15,2020-04-05,PI,0
15,2020-04-05,PR,44
15,2020-04-05,RJ,148
15,2020-04-05,RN,31
15,2020-04-05,RO,3
15,2020-04-05,RR,0
15,2020-04-05,RS,50
15,2020-04-05,SC,23
15,2020-04-05,SE,0
15,2020-04-05,SP,154
15,2020-04-05,TO,1
15,2020-04-06,AC,2
15,2020-04-06,AL,3
15,2020-04-06,AM,115
15,2020-04-06,AP,7
15,2020-04-06,BA,36
15,2020-04-06,CE,83
15,2020-04-06,DF,17
15,2020-04-06,ES,15
15,2020-04-06,GO,4
15,2020-04-06,MA,39
15,2020-04-06,MG,27
15,2020-04-06,MS,1
15,2020-04-06,MT,16
15,2020-04-06,PA,37
15,2020-04-06,PB,1
15,2020-04-06,PE,22
15,2020-04-06,PI,2
15,2020-04-06,PR,21
15,2020-04-06,RJ,67
15,2020-04-06,RN,0
15,2020-04-06,RO,4
15,2020-04-06,RR,0
15,2020-04-06,RS,33
15,2020-04-06,SC,38
15,2020-04-06,SE,0
15,2020-04-06,SP,246
15,2020-04-06,TO,2
15,2020-04-07,AC,0
15,2020-04-07,AL,3
15,2020-04-07,AM,104
15,2020-04-07,AP,12
15,2020-04-07,BA,25
15,2020-04-07,CE,143
15,2020-04-07,DF,18
15,2020-04-07,ES,18
15,2020-04-07,GO,14
15,2020-04-07,MA,58
15,2020-04-07,MG,34
15,2020-04-07,MS,14
15,2020-04-07,MT,2
15,2020-04-07,PA,31
15,2020-04-07,PB,5
15,2020-04-07,PE,129
15,2020-04-07,PI,5
15,2020-04-07,PR,45
15,2020-04-07,RJ,227
15,2020-04-07,RN,8
15,2020-04-07,RO,5
15,2020-04-07,RR,7
15,2020-04-07,RS,54
15,2020-04-07,SC,40
15,2020-04-07,SE,4
15,2020-04-07,SP,816
15,2020-04-07,TO,0
15,2020-04-08,AC,8
15,2020-04-08,AL,3
15,2020-04-08,AM,168
15,2020-04-08,AP,56
15,2020-04-08,BA,53
15,2020-04-08,CE,205
15,2020-04-08,DF,6
15,2020-04-08,ES,46
15,2020-04-08,GO,26
15,2020-04-08,MA,43
15,2020-04-08,MG,55
15,2020-04-08,MS,5
15,2020-04-08,MT,12
15,2020-04-08,PA,13
15,2020-04-08,PB,14
15,2020-04-08,PE,49
15,2020-04-08,PI,7
15,2020-04-08,PR,39
15,2020-04-08,RJ,250
15,2020-04-08,RN,8
15,2020-04-08,RO,3
15,2020-04-08,RR,3
15,2020-04-08,RS,26
15,2020-04-08,SC,44
15,2020-04-08,SE,3
15,2020-04-08,SP,1026
15,2020-04-08,TO,4
15,2020-04-09,AC,4
15,2020-04-09,AL,0
15,2020-04-09,AM,95
15,2020-04-09,AP,21
15,2020-04-09,BA,53
15,2020-04-09,CE,51
15,2020-04-09,DF,18
15,2020-04-09,ES,27
15,2020-04-09,GO,20
15,2020-04-09,MA,21
15,2020-04-09,MG,41
15,2020-04-09,MS,4
15,2020-04-09,MT,18
15,2020-04-09,PA,2
15,2020-04-09,PB,24
15,2020-04-09,PE,154
15,2020-04-09,PI,2
15,2020-04-09,PR,71
15,2020-04-09,RJ,278
15,2020-04-09,RN,0
15,2020-04-09,RO,2
15,2020-04-09,RR,11
15,2020-04-09,RS,55
15,2020-04-09,SC,192
15,2020-04-09,SE,1
15,2020-04-09,SP,772
15,2020-04-09,TO,0
15,2020-04-10,AC,8
15,2020-04-10,AL,8
15,2020-04-10,AM,82
15,2020-04-10,AP,38
15,2020-04-10,BA,48
15,2020-04-10,CE,113
15,2020-04-10,DF,29
15,2020-04-10,ES,49
15,2020-04-10,GO,12
15,2020-04-10,MA,51
15,2020-04-10,MG,43
15,2020-04-10,MS,8
15,2020-04-10,MT,4
15,2020-04-10,PA,48
15,2020-04-10,PB,6
15,2020-04-10,PE,129
15,2020-04-10,PI,1
15,2020-04-10,PR,34
15,2020-04-10,RJ,248
15,2020-04-10,RN,1
15,2020-04-10,RO,4
15,2020-04-10,RR,12
15,2020-04-10,RS,4
15,2020-04-10,SC,24
15,2020-04-10,SE,2
15,2020-04-10,SP,736
15,2020-04-10,TO,0
15,2020-04-11,AC,2
15,2020-04-11,AL,3
15,2020-04-11,AM,69
15,2020-04-11,AP,27
15,2020-04-11,BA,24
15,2020-04-11,CE,110
15,2020-04-11,DF,36
15,2020-04-11,ES,34
15,2020-04-11,GO,18
15,2020-04-11,MA,54
15,2020-04-11,MG,52
15,2020-04-11,MS,3
15,2020-04-11,MT,9
15,2020-04-11,PA,20
15,2020-04-11,PB,16
15,2020-04-11,PE,132
15,2020-04-11,PI,3
15,2020-04-11,PR,33
15,2020-04-11,RJ,143
15,2020-04-11,RN,26
15,2020-04-11,RO,2
15,2020-04-11,RR,4
15,2020-04-11,RS,13
15,2020-04-11,SC,15
15,2020-04-11,SE,2
15,2020-04-11,SP,203
15,2020-04-11,TO,2
16,2020-04-12,AC,5
16,2020-04-12,AL,0
16,2020-04-12,AM,156
16,2020-04-12,AP,44
16,2020-04-12,BA,34
16,2020-04-12,CE,79
16,2020-04-12,DF,26
16,2020-04-12,ES,47
16,2020-04-12,GO,20
16,2020-04-12,MA,47
16,2020-04-12,MG,56
16,2020-04-12,MS,1
16,2020-04-12,MT,2
16,2020-04-12,PA,22
16,2020-04-12,PB,10
16,2020-04-12,PE,144
16,2020-04-12,PI,7
16,2020-04-12,PR,62
16,2020-04-12,RJ,248
16,2020-04-12,RN,50
16,2020-04-12,RO,8
16,2020-04-12,RR,4
16,2020-04-12,RS,11
16,2020-04-12,SC,44
16,2020-04-12,SE,0
16,2020-04-12,SP,336
16,2020-04-12,TO,1
16,2020-04-13,AC,13
16,2020-04-13,AL,10
16,2020-04-13,AM,69
16,2020-04-13,AP,7
16,2020-04-13,BA,49
16,2020-04-13,CE,189
16,2020-04-13,DF,23
16,2020-04-13,ES,33
16,2020-04-13,GO,4
16,2020-04-13,MA,33
16,2020-04-13,MG,9
16,2020-04-13,MS,12
16,2020-04-13,MT,11
16,2020-04-13,PA,51
16,2020-04-13,PB,25
16,2020-04-13,PE,194
16,2020-04-13,PI,7
16,2020-04-13,PR,18
16,2020-04-13,RJ,376
16,2020-04-13,RN,37
16,2020-04-13,RO,0
16,2020-04-13,RR,30
16,2020-04-13,RS,21
16,2020-04-13,SC,50
16,2020-04-13,SE,1
16,2020-04-13,SP,140
16,2020-04-13,TO,0
16,2020-04-14,AC,9
16,2020-04-14,AL,14
16,2020-04-14,AM,209
16,2020-04-14,AP,64
16,2020-04-14,BA,53
16,2020-04-14,CE,136
16,2020-04-14,DF,10
16,2020-04-14,ES,94
16,2020-04-14,GO,51
16,2020-04-14,MA,152
16,2020-04-14,MG,69
16,2020-04-14,MS,2
16,2020-04-14,MT,4
16,2020-04-14,PA,74
16,2020-04-14,PB,16
16,2020-04-14,PE,130
16,2020-04-14,PI,17
16,2020-04-14,PR,35
16,2020-04-14,RJ,179
16,2020-04-14,RN,23
16,2020-04-14,RO,27
16,2020-04-14,RR,1
16,2020-04-14,RS,35
16,2020-04-14,SC,27
16,2020-04-14,SE,1
16,2020-04-14,SP,476
16,2020-04-14,TO,1
16,2020-04-15,AC,2
16,2020-04-15,AL,11
16,2020-04-15,AM,70
16,2020-04-15,AP,34
16,2020-04-15,BA,108
16,2020-04-15,CE,220
16,2020-04-15,DF,37
16,2020-04-15,ES,177
16,2020-04-15,GO,20
16,2020-04-15,MA,65
16,2020-04-15,MG,19
16,2020-04-15,MS,6
16,2020-04-15,MT,13
16,2020-04-15,PA,103
16,2020-04-15,PB,13
16,2020-04-15,PE,200
16,2020-04-15,PI,16
16,2020-04-15,PR,13
16,2020-04-15,RJ,333
16,2020-04-15,RN,1
16,2020-04-15,RO,4
16,2020-04-15,RR,28
16,2020-04-15,RS,42
16,2020-04-15,SC,31
16,2020-04-15,SE,2
16,2020-04-15,SP,1672
16,2020-04-15,TO,2
16,2020-04-16,AC,14
16,2020-04-16,AL,6
16,2020-04-16,AM,165
16,2020-04-16,AP,20
16,2020-04-16,BA,83
16,2020-04-16,CE,120
16,2020-04-16,DF,39
16,2020-04-16,ES,201
16,2020-04-16,GO,14
16,2020-04-16,MA,102
16,2020-04-16,MG,55
16,2020-04-16,MS,10
16,2020-04-16,MT,5
16,2020-04-16,PA,70
16,2020-04-16,PB,30
16,2020-04-16,PE,199
16,2020-04-16,PI,11
16,2020-04-16,PR,29
16,2020-04-16,RJ,201
16,2020-04-16,RN,63
16,2020-04-16,RO,19
16,2020-04-16,RR,22
16,2020-04-16,RS,30
16,2020-04-16,SC,42
16,2020-04-16,SE,5
16,2020-04-16,SP,525
16,2020-04-16,TO,2
16,2020-04-17,AC,20
16,2020-04-17,AL,21
16,2020-04-17,AM,90
16,2020-04-17,AP,13
16,2020-04-17,BA,97
16,2020-04-17,CE,335
16,2020-04-17,DF,29
16,2020-04-17,ES,17
16,2020-04-17,GO,17
16,2020-04-17,MA,243
16,2020-04-17,MG,63
16,2020-04-17,MS,12
16,2020-04-17,MT,6
16,2020-04-17,PA,70
16,2020-04-17,PB,10
16,2020-04-17,PE,323
16,2020-04-17,PI,21
16,2020-04-17,PR,42
16,2020-04-17,RJ,405
16,2020-04-17,RN,53
16,2020-04-17,RO,18
16,2020-04-17,RR,37
16,2020-04-17,RS,39
16,2020-04-17,SC,36
16,2020-04-17,SE,5
16,2020-04-17,SP,1273
16,2020-04-17,TO,1
16,2020-04-18,AC,7
16,2020-04-18,AL,22
16,2020-04-18,AM,88
16,2020-04-18,AP,25
16,2020-04-18,BA,136
16,2020-04-18,CE,315
16,2020-04-18,DF,40
16,2020-04-18,ES,147
16,2020-04-18,GO,43
16,2020-04-18,MA,165
16,2020-04-18,MG,56
16,2020-04-18,MS,18
16,2020-04-18,MT,9
16,2020-04-18,PA,14
16,2020-04-18,PB,31
16,2020-04-18,PE,187
16,2020-04-18,PI,21
16,2020-04-18,PR,73
16,2020-04-18,RJ,194
16,2020-04-18,RN,45
16,2020-04-18,RO,18
16,2020-04-18,RR,21
16,2020-04-18,RS,23
16,2020-04-18,SC,13
16,2020-04-18,SE,13
